,User,Time,Location,Description
0,Jolivé Hodehou,2017-08-20 19:10:56+00:00,Africa 🌍,
1,Étienne Garbugli (Author of Lean B2B),2008-09-10 23:08:49+00:00,Get a Sampler of My Books 👉,"✊ On a mission to meaningfully increase the success rate of B2B ventures

📚 Author of https://t.co/RGPEAw951b, https://t.co/F1wOWuBpfO, https://t.co/6VXuKfEEfg, https://t.co/kez2fDaFVB"
2,"J🅿️ Mullin (🕉, 🌙)",2018-01-26 05:38:37+00:00,Hong Kong,🕉 @MANTRAOMNIVERSE & @SOMA_Finance Co-Founder 🕉 | Investing @0x_UVC | $OM | $AUM | $SOMA | $HELI | $ETH | $ENTR | $HBAR | $MATIC |
3,timespaceimage,2021-11-01 00:33:25+00:00,UTC -6,multimedia | installation art | electronic music | digital art | NFT appreciation | cultural intervention
4,Mark Lyons,2012-10-27 02:22:36+00:00,"Somerville, MA",VP Product @dremio prev product @verticaunified • #data #analytics #design #tech to better the 🌍
5,Andrew Mark Fahey,2011-07-05 22:52:53+00:00,Tallahassee,
6,ea_cane9,2022-02-17 20:53:04+00:00,,
7,Steven Blake,2010-12-08 13:06:55+00:00,Bristol UK,"Group Lead | Visual Media EMEA at Jacobs. Immersive XR (AR/VR/360), CGI Visualisation & Motion Design."
8,Olivia Charlotte,2022-06-02 16:06:18+00:00,,"Managing Partner at Gaia Global Ventures 🌎 seed to series a ✨ hardtech for impact 🔥 climate, infra, energy, materials, ag 💧 #esginvesting #womeninfinance"
9,Devrim.,2010-08-17 17:28:58+00:00,Tampere | Tallinn | Ephesus,"I write code, non-fiction, fiction.
Build products, flows, ideas; manage projects, teams, time.
Founder: https://t.co/OggPB0VcBn | @RockersConnect | @MaltFM"
10,Finance Club ⌐◨-◨,2015-06-05 06:28:13+00:00,"Wuppertal, Nordrhein-Westfalen",Non-Fungible Insurance Consulting https://t.co/GACJZlBoCj | Finanzen | Versicherungen | NFT’s | DAO | Krypto
11,TaskTracks,2022-06-04 02:24:17+00:00,,"Productivity and time-management tools. See your meetings and tasks in one place, pulled from tools you already use."
12,Sunny 🇮🇳,2018-03-16 10:52:19+00:00,India,
13,Stuart Bailey,2007-09-20 21:19:58+00:00,Leicestershire,
14,TuVolqueta,2011-08-03 23:39:52+00:00,"Bogotá, D.C., Colombia","Somos una empresa que ofrece los Servicios de Alquiler de Volquetas para Retiro de Escombros y Basuras, Venta de Materiales para Construcción móvil 3112061513"
