,User,Time,Location,Description
0,Norman Zhou,2013-05-06 02:12:30+00:00,"Fort Lauderdale, FL","President of Norman's Advisory, Inc."
1,Raf,2023-05-17 17:59:42+00:00,,Inspired by Saas
2,Global Property,2023-02-17 10:00:41+00:00,Dubai,"Dubai Calling... 
One Time Investment, Lifetime Income
Investment /Purchase
Guaranteed /Tax Free Income
Tension /Hassel Free
Rentals /Home Services"
3,Dacheng Zhao,2020-04-16 22:16:24+00:00,,
4,The Memory Kit,2011-01-05 22:14:07+00:00,"Atlanta, GA",
5,E Kamanga,2023-04-12 04:37:26+00:00,,
6,Damian Błaszczyk,2023-05-03 19:58:22+00:00,,
7,DavidASEM,2008-12-13 05:53:39+00:00,FUCK YOU TWiTTER Engineering,"♥ ∞ #Bitcoin = ♥#Creativity + ♥ #Innovation + ♥#Entrepreneurship — Be Sober, Be Cool & Be Good to each other!"
8,Dada,2021-08-28 06:59:18+00:00,,Building...
9,LUIS COLMENARES,2010-02-12 02:53:50+00:00,EUA,
10,Johannes Dultz,2011-06-07 15:41:48+00:00,"Stuttgart, Deutschland","Grown up with IRC, Bulletinboards, Hacking, Grims Ping - Co-Founder of Jurebus, SameMission & some other companies"
11,Jueye,2021-11-21 04:29:29+00:00,,开始
12,BalticVC,2022-04-25 11:27:00+00:00,"Narva, Estonia","We write about startups and venture business. We cover all IT deals with participants from Estonia, Latvia and Lithuania. Contact us via DM"
13,Hlithskjolf,2008-08-06 15:52:08+00:00,"Manhattan, NYC","Husband, father, Norse pagan. Ex pro athlete, ex biotech founder. Ancestral health, localism, kettlebells. Working behind the scenes making companies grow fast."
14,Ed Van Hooydonk,2009-11-30 06:31:59+00:00,"Toronto, Canada",
15,Another Jason,2008-06-25 23:30:40+00:00,Virginia Beach,Software Developer. Avid Reader. Friendly Gamer. Expired Raver. Lefty Humanist. #P2 #ThanksObama  RTs are prolly endorsements
16,james nguma,2014-05-25 10:10:48+00:00,Nairobi,"SaaS and eCommerce writer for brands like https://t.co/szOv5aSrL1, https://t.co/et0YvZnc6k, https://t.co/3NNHPaQoEc, and https://t.co/MrmqGaJraV, helping them drive more engagement to their business."
17,Anais Rojas,2022-04-07 04:28:17+00:00,Caracas,
18,Joachim Hagege,2009-01-09 20:53:06+00:00,Tel Aviv,"Entrepreneur, AI/Web3 enthusiast, passionate about Innovation Ecosystems. 
gm :)"
19,ManyaChylinski,2013-01-29 22:30:57+00:00,,Speaker | Keynote | TEDx | Storyteller | Writer | Podcaster | Advocate | Survivor | Friend | Lifelong Learner | She | Her
20,Tom Tran,2020-10-02 04:03:43+00:00,"Hanoi, Vietnam",
21,Eneas_Escritor,2009-06-23 10:28:47+00:00,,Demasiado Yo
22,RAJ JANGID,2015-04-25 18:39:31+00:00,India,"🇮🇳 • Learn, Achieve & Grow"
23,Vini,2009-09-21 19:55:52+00:00,Latam,"Innovador tecnológico, emprendedor y speaker. Apasionado de la inteligencia artificial y la tecnología disruptiva. EMBA @INCAE. En continuo aprendizaje..."
24,Taras Bulba,2022-11-04 21:51:35+00:00,"San Jose, Costa Rica","🇺🇦Half Ukrainian 🇮🇹 Half Italian 
🏵️Full Yorkshire.

🇺🇦 Camorra Tyke Mafia eats Imperialists"
25,Sils,2011-01-15 07:47:42+00:00,South Africa,Entreprenuer| ITAD specialist| AI Enthusiast|Passionate about Renewable Energy.
26,Batuhan Yaldiz,2014-07-09 16:16:50+00:00,Tuvalu,Hırsıza hırsız olduğunu unutturursan sana ahlak dersi verir.
27,AdanBG,2010-06-29 03:48:26+00:00,,
28,IFTTT,2009-09-17 18:30:25+00:00,"San Francisco, CA","Every thing works better together. 

Get started: https://t.co/p9vnrjh0Ja
Get support: https://t.co/hXsOzH70Yh"
29,Vince McCarthy,2022-04-26 02:24:15+00:00,"Nova Scotia, Canada",
30,JZorzi,2019-05-30 23:32:38+00:00,LA  |  Mammoth  |  OCMD,"Strat AE @chargebee | alum @bolt, @recurly, @imperson, @husldigital | Sports & Tech Fan | coach @agouralacrosse | fan @ravens @lakers @dodgers @terrapinhoops"
31,Joonho Jun,2021-03-28 20:05:48+00:00,,"Analyst @161ventures
BD @SNSstork"
32,Two Step Social,2022-08-12 03:46:03+00:00,"Charlotte, North Carolina","We create unique, high-quality social media content. No contract required. Cancel anytime."
33,iamraymond,2014-04-13 08:47:15+00:00,"Nairobi, Kenya","Software Engineer, ML & AI Engineer | Blockchain | 
Love to code | Travel | Play Football"
34,SalesGang,2023-05-02 14:48:56+00:00,Budweis,Visual Sales Analytics for Pipedrive CRM for every sales director and manager. Have your deals under control.
35,Derya Ertekin,2021-10-31 04:10:56+00:00,,Pay
36,Cedric's-Osophy,2020-03-30 12:50:48+00:00,"Dubai, United Arab Emirates",https://t.co/drqdA0XakB
37,ClickMoreTypeLess,2023-05-01 10:19:21+00:00,,"Click More Type Less. Promotes no-code IT solutions for every business, making technology accessible for all."
38,Cohenit,2021-01-05 15:18:21+00:00,Edinburgh,We turn your efficiency ideas into working solutions and optimise your business processes so you can focus on what you do best: serving your customers.
39,Laressa,2023-03-17 22:21:26+00:00,"West Virginia, USA",Wife. Mother. Christian. Maker. Etsy seller. 4th Gen. Carpenter. Rescue Dog Mom. Rescue Cat Mom. KY Born/Raised. WV Living.
40,INNOVAmee,2010-03-16 01:36:16+00:00,"Barcelona, Barcelonès","Transformación Digital INNOVAmee - Innovation Management, Expertise & Execution - Innovación con determinación experta. 
Agente Digitalizador - Kit Digital"
41,Complete Sales Live,2023-04-28 08:27:26+00:00,London,"📆13th & 14th March 2024
📍ExCeL, London

A 360 view of the sales industry so you can stay ahead"
42,Kevin McCain,2013-11-11 13:27:43+00:00,"Atlanta,  GA",Senior Channel Operation Manager
43,Harps 🎲,2012-05-09 19:29:17+00:00,,"They say there are 2 sides to everything. But there is one side to the stock market; and it’s not the bull site or the bear side, but the right side."
44,Kirk O'Connor,2013-02-03 22:30:38+00:00,"Tennessee, USA","father of four, like to learn, like to share, push the limits of too much coffee :) (views are my own)"
45,Global Property Inventory,2023-03-17 09:57:48+00:00,,Greetings to You All and Welcome to the Global Property Inventory Company. We are Involved in Helping Peoples Properties Buying in International Worldwide.
46,Zeus Alts,2021-12-01 15:11:21+00:00,,Altcoin digger💎Diamond hands🚀
47,Leon Warburton 🇦🇺,2020-01-22 14:47:46+00:00,,
48,tomas,2011-11-21 19:45:01+00:00,,
49,Vlad Semenets,2020-10-20 21:28:09+00:00,"Antwerpen, België",
50,FPLRossoneri (Nick) ☮️🇺🇦,2020-01-08 13:17:24+00:00,"Berlin, Germany",Marketing @Onefootball | FPL since 13/14 | #UCLFantasy & #WCFantasy Content @AllaboutFPL | I support @ACMilan | Views & opinions are my own
51,Syrbain Cellier,2009-11-07 10:00:40+00:00,"Paris, France",Product lover 🦁
52,Linkesworld,2021-12-09 11:48:25+00:00,"Dresden, Sachsen",AdLinke Media 🦅🦅we are against Nazi! We are against who wants destroy human freedom!! East Turkestan is not part of China! I stand with East Turkestan people!
53,Inside CRO,2023-03-28 07:54:27+00:00,"Dallas, Texas","Where Big Data, Sales, Marketing and Innovation Collaborate. We are at your service."
54,Kimmo Hintikka,2010-09-26 19:16:06+00:00,"Fuengirola, Spain","Working with #ModernDataStack  #Martech #CDI @RudderStack, ex @Amplitude_HQ when not working dad of 2 boys travelling, reading and hiking when I have time left"
55,supreme_bahri,2023-04-23 20:19:37+00:00,,
56,Tom Beinke,2009-04-28 22:58:34+00:00,Adelaide,
57,Liia Võrk,2012-04-22 00:32:45+00:00,"Tallinn, Estonia",
58,✨ carmellaanne,2022-08-08 15:23:04+00:00,,We should not let opportunities pass us by!💯
59,Lady Crypto 💰,2021-04-24 14:11:17+00:00,,"Future Digital Artist, making reality INTO VIRTUAL REALITY #NFT enthusiast"
60,Gregory Porter,2011-09-17 07:08:39+00:00,Nationwide,"Hotel Finance specialist with HREC Investment Advisors - monitoring and commenting on CRE, hospitality & capital markets - I follow back all CRE"
61,UNO Arquitectos,2022-10-13 02:49:07+00:00,Tulum,"Architecture firm offering integrated solutions for Design & Build in Playa del Carmen, Tulum and surrounding in Riviera Maya (Mexican Caribean)."
62,Davidi Marmini,2011-01-07 19:38:37+00:00,,chbouing
63,Call Tools,2015-02-09 21:27:09+00:00,"Irvine, CA","Cloud-based software for outbound & inbound contact centers. 

Learn more about our predictive dialer and inbound call center solution all-in-one."
64,Chris Hughes,2010-05-02 01:22:05+00:00,,"I invest in things, sometimes those investments do well, sometimes they don't. Learning to achieve more of the former is where I enjoy spending my time."
65,Cameron Ortmeier,2023-02-02 02:24:04+00:00,,
66,neshallweb,2021-01-01 10:33:04+00:00,India," A gateway to your online presence. A reliable place for the stunning, fast and eye-catching websites for the growth of your personal brand and business."
67,Trileuco Solutions,2009-08-19 23:36:10+00:00,Galicia,Trileuco Solutions is a software development company based in A Coruña (Spain) offering agile #software development
68,jonathanfleming,2007-12-09 20:59:54+00:00,Oakland-San Francisco,"I run a diverse group of realty companies that provide consulting ,expertise, and development in residential and commercial spaces."
